No,;Time;;Time 1;Time 2;Delay;delay 1;delay 2;jitter
88;0,752284;;0,752284;0,752339;5,5E-05;-0,002453;-0,001135;0,001318
89;0,752339;;0,752339;0,754847;0,002508;-0,001135;0,003324;0,004459
90;0,754847;;0,754847;0,75849;0,003643;0,003324;-0,002142;-0,005466
91;0,75849;;0,75849;0,758809;0,000319;-0,002142;0,002461;0,004603
92;0,758809;;0,758809;0,76127;0,002461;0,002461;-2E-06;-0,002463
93;0,76127;;0,76127;0,76127;0;-2E-06;-4,8E-05;-4,6E-05
94;0,76127;;0,76127;0,761272;2E-06;-4,8E-05;-0,003591;-0,003543
95;0,761272;;0,761272;0,761322;5E-05;-0,003591;0,003589;0,00718
96;0,761322;;0,761322;0,764963;0,003641;0,003589;-0,001618;-0,005207
97;0,764963;;0,764963;0,765015;5,2E-05;-0,001618;-0,007636;-0,006018
99;0,765015;;0,765015;0,766685;0,00167;-0,007636;0,008757;0,016393
100;0,766685;;0,766685;0,775991;0,009306;0,008757;-0,000208;-0,008965
101;0,775991;;0,775991;0,77654;0,000549;-0,000208;0,000692;0,0009
102;0,77654;;0,77654;0,777297;0,000757;0,000692;3,8E-05;-0,000654
103;0,777297;;0,777297;0,777362;6,5E-05;3,8E-05;-0,000382;-0,00042
104;0,777362;;0,777362;0,777389;2,7E-05;-0,000382;-0,01999;-0,019608
105;0,777389;;0,777389;0,777798;0,000409;-0,01999;0,020129;0,040119
106;0,777798;;0,777798;0,798197;0,020399;0,020129;0,000163;-0,019966
107;0,798197;;0,798197;0,798467;0,00027;0,000163;-0,000238;-0,000401
108;0,798467;;0,798467;0,798574;0,000107;-0,000238;-0,000152;8,6E-05
109;0,798574;;0,798574;0,798919;0,000345;-0,000152;0,000496;0,000648
110;0,798919;;0,798919;0,799416;0,000497;0,000496;-2,4E-05;-0,00052
111;0,799416;;0,799416;0,799417;1E-06;-2,4E-05;-0,00109;-0,001066
112;0,799417;;0,799417;0,799442;2,5E-05;-0,00109;0,000633;0,001723
113;0,799442;;0,799442;0,800557;0,001115;0,000633;0,000481;-0,000152
114;0,800557;;0,800557;0,801039;0,000482;0,000481;-2,9E-05;-0,00051
115;0,801039;;0,801039;0,80104;1E-06;-2,9E-05;-0,010684;-0,010655
116;0,80104;;0,80104;0,80107;3E-05;-0,010684;0,010168;0,020852
117;0,80107;;0,80107;0,811784;0,010714;0,010168;0,000246;-0,009922
118;0,811784;;0,811784;0,81233;0,000546;0,000246;0,000234;-1,2E-05
119;0,81233;;0,81233;0,81263;0,0003;0,000234;-0,000506;-0,00074
120;0,81263;;0,81263;0,812696;6,6E-05;-0,000506;0,000522;0,001028
121;0,812696;;0,812696;0,813268;0,000572;0,000522;-0,00041;-0,000932
122;0,813268;;0,813268;0,813318;5E-05;-0,00041;-0,023007;-0,022597
123;0,813318;;0,813318;0,813778;0,00046;-0,023007;0,023466;0,046473
124;0,813778;;0,813778;0,837245;0,023467;0,023466;1E-06;-0,023465
125;0,837245;;0,837245;0,837246;1E-06;1E-06;0;-1E-06
126;0,837246;;0,837246;0,837246;0;0;0;0
127;0,837246;;0,837246;0,837246;0;0;0;0
128;0,837246;;0,837246;0,837246;0;0;-1E-06;-1E-06
129;0,837246;;0,837246;0,837246;0;-1E-06;1E-06;2E-06
130;0,837246;;0,837246;0,837247;1E-06;1E-06;0;-1E-06
131;0,837247;;0,837247;0,837247;0;0;0;0
132;0,837247;;0,837247;0,837247;0;0;-9,3E-05;-9,3E-05
133;0,837247;;0,837247;0,837247;0;-9,3E-05;2E-06;9,5E-05
134;0,837247;;0,837247;0,83734;9,3E-05;2E-06;-0,000532;-0,000534
135;0,83734;;0,83734;0,837431;9,1E-05;-0,000532;-0,00575;-0,005218
136;0,837431;;0,837431;0,838054;0,000623;-0,00575;0,006287;0,012037
137;0,838054;;0,838054;0,844427;0,006373;0,006287;3,9E-05;-0,006248
138;0,844427;;0,844427;0,844513;8,6E-05;3,9E-05;-0,000125;-0,000164
139;0,844513;;0,844513;0,84456;4,7E-05;-0,000125;-0,001894;-0,001769
140;0,84456;;0,84456;0,844732;0,000172;-0,001894;0,001962;0,003856
141;0,844732;;0,844732;0,846798;0,002066;0,001962;-7,2E-05;-0,002034
142;0,846798;;0,846798;0,846902;0,000104;-7,2E-05;0,000127;0,000199
143;0,846902;;0,846902;0,847078;0,000176;0,000127;-0,001727;-0,001854
144;0,847078;;0,847078;0,847127;4,9E-05;-0,001727;0,001712;0,003439
145;0,847127;;0,847127;0,848903;0,001776;0,001712;-5E-05;-0,001762
146;0,848903;;0,848903;0,848967;6,4E-05;-5E-05;-0,003115;-0,003065
147;0,848967;;0,848967;0,849081;0,000114;-0,003115;0,001572;0,004687
148;0,849081;;0,849081;0,85231;0,003229;0,001572;0,001568;-4E-06
149;0,85231;;0,85231;0,853967;0,001657;0,001568;-0,003425;-0,004993
150;0,853967;;0,853967;0,854056;8,9E-05;-0,003425;0,003239;0,006664
151;0,854056;;0,854056;0,85757;0,003514;0,003239;0,000215;-0,003024
152;0,85757;;0,85757;0,857845;0,000275;0,000215;-0,000105;-0,00032
153;0,857845;;0,857845;0,857905;6E-05;-0,000105;0,000119;0,000224
154;0,857905;;0,857905;0,85807;0,000165;0,000119;-0,001446;-0,001565
155;0,85807;;0,85807;0,858116;4,6E-05;-0,001446;0,001398;0,002844
156;0,858116;;0,858116;0,859608;0,001492;0,001398;-8,4E-05;-0,001482
157;0,859608;;0,859608;0,859702;9,4E-05;-8,4E-05;0,000126;0,00021
158;0,859702;;0,859702;0,85988;0,000178;0,000126;-0,010038;-0,010164
159;0,85988;;0,85988;0,859932;5,2E-05;-0,010038;0,009473;0,019511
160;0,859932;;0,859932;0,870022;0,01009;0,009473;-0,000572;-0,010045
161;0,870022;;0,870022;0,870639;0,000617;-0,000572;0,001153;0,001725
162;0,870639;;0,870639;0,871828;0,001189;0,001153;-0,000648;-0,001801
163;0,871828;;0,871828;0,871864;3,6E-05;-0,000648;-0,005821;-0,005173
164;0,871864;;0,871864;0,872548;0,000684;-0,005821;0,006504;0,012325
165;0,872548;;0,872548;0,879053;0,006505;0,006504;0;-0,006504
166;0,879053;;0,879053;0,879054;1E-06;0;-9,1E-05;-9,1E-05
167;0,879054;;0,879054;0,879055;1E-06;-9,1E-05;-0,000854;-0,000763
168;0,879055;;0,879055;0,879147;9,2E-05;-0,000854;0,000946;0,0018
169;0,879147;;0,879147;0,880093;0,000946;0,000946;-4,9E-05;-0,000995
170;0,880093;;0,880093;0,880093;0;-4,9E-05;-0,000664;-0,000615
171;0,880093;;0,880093;0,880142;4,9E-05;-0,000664;0,000713;0,001377
172;0,880142;;0,880142;0,880855;0,000713;0,000713;-5E-05;-0,000763
173;0,880855;;0,880855;0,880855;0;-5E-05;-0,000214;-0,000164
174;0,880855;;0,880855;0,880905;5E-05;-0,000214;0,000263;0,000477
175;0,880905;;0,880905;0,881169;0,000264;0,000263;1E-06;-0,000262
176;0,881169;;0,881169;0,88117;1E-06;1E-06;-2,5E-05;-2,6E-05
177;0,88117;;0,88117;0,88117;0;-2,5E-05;-0,001975;-0,00195
178;0,88117;;0,88117;0,881195;2,5E-05;-0,001975;0,001914;0,003889
179;0,881195;;0,881195;0,883195;0,002;0,001914;8,5E-05;-0,001829
180;0,883195;;0,883195;0,883281;8,6E-05;8,5E-05;-4,7E-05;-0,000132
181;0,883281;;0,883281;0,883282;1E-06;-4,7E-05;-0,00079;-0,000743
182;0,883282;;0,883282;0,88333;4,8E-05;-0,00079;-0,001929;-0,001139
183;0,88333;;0,88333;0,884168;0,000838;-0,001929;0,002703;0,004632
184;0,884168;;0,884168;0,886935;0,002767;0,002703;-0,002583;-0,005286
185;0,886935;;0,886935;0,886999;6,4E-05;-0,002583;-0,001186;0,001397
186;0,886999;;0,886999;0,889646;0,002647;-0,001186;0,00251;0,003696
187;0,889646;;0,889646;0,893479;0,003833;0,00251;-0,006223;-0,008733
188;0,893479;;0,893479;0,894802;0,001323;-0,006223;0,003912;0,010135
189;0,894802;;0,894802;0,902348;0,007546;0,003912;-0,012511;-0,016423
190;0,902348;;0,902348;0,905982;0,003634;-0,012511;0,016091;0,028602
191;0,905982;;0,905982;0,922127;0,016145;0,016091;-0,000343;-0,016434
192;0,922127;;0,922127;0,922181;5,4E-05;-0,000343;0,000395;0,000738
193;0,922181;;0,922181;0,922578;0,000397;0,000395;-5,2E-05;-0,000447
194;0,922578;;0,922578;0,92258;2E-06;-5,2E-05;-0,003796;-0,003744
195;0,92258;;0,92258;0,922634;5,4E-05;-0,003796;0,003154;0,00695
196;0,922634;;0,922634;0,926484;0,00385;0,003154;0,000694;-0,00246
197;0,926484;;0,926484;0,92718;0,000696;0,000694;1E-06;-0,000693
198;0,92718;;0,92718;0,927182;2E-06;1E-06;0;-1E-06
199;0,927182;;0,927182;0,927183;1E-06;0;0;0
200;0,927183;;0,927183;0,927184;1E-06;0;-4,7E-05;-4,7E-05
201;0,927184;;0,927184;0,927185;1E-06;-4,7E-05;-0,005357;-0,00531
202;0,927185;;0,927185;0,927233;4,8E-05;-0,005357;0,003184;0,008541
203;0,927233;;0,927233;0,932638;0,005405;0,003184;0,002033;-0,001151
204;0,932638;;0,932638;0,934859;0,002221;0,002033;-0,005288;-0,007321
205;0,934859;;0,934859;0,935047;0,000188;-0,005288;0,004197;0,009485
206;0,935047;;0,935047;0,940523;0,005476;0,004197;-0,014816;-0,019013
207;0,940523;;0,940523;0,941802;0,001279;-0,014816;0,015991;0,030807
208;0,941802;;0,941802;0,957897;0,016095;0,015991;-5,7E-05;-0,016048
209;0,957897;;0,957897;0,958001;0,000104;-5,7E-05;0,000122;0,000179
210;0,958001;;0,958001;0,958162;0,000161;0,000122;-0,000303;-0,000425
211;0,958162;;0,958162;0,958201;3,9E-05;-0,000303;-0,001896;-0,001593
212;0,958201;;0,958201;0,958543;0,000342;-0,001896;0,001747;0,003643
213;0,958543;;0,958543;0,960781;0,002238;0,001747;0,000491;-0,001256
214;0,960781;;0,960781;0,961272;0,000491;0,000491;-3,9E-05;-0,00053
215;0,961272;;0,961272;0,961272;0;-3,9E-05;-0,018872;-0,018833
216;0,961272;;0,961272;0,961311;3,9E-05;-0,018872;0,017878;0,03675
217;0,961311;;0,961311;0,980222;0,018911;0,017878;0,000288;-0,01759
218;0,980222;;0,980222;0,981255;0,001033;0,000288;0,000744;0,000456
219;0,981255;;0,981255;0,982;0,000745;0,000744;1E-06;-0,000743
220;0,982;;0,982;0,982001;1E-06;1E-06;-5,7E-05;-5,8E-05
221;0,982001;;0,982001;0,982001;0;-5,7E-05;-0,000489;-0,000432
222;0,982001;;0,982001;0,982058;5,7E-05;-0,000489;0,000546;0,001035
223;0,982058;;0,982058;0,982604;0,000546;0,000546;-4,9E-05;-0,000595
224;0,982604;;0,982604;0,982604;0;-4,9E-05;-0,001892;-0,001843
225;0,982604;;0,982604;0,982653;4,9E-05;-0,001892;0,001714;0,003606
226;0,982653;;0,982653;0,984594;0,001941;0,001714;0,000158;-0,001556
227;0,984594;;0,984594;0,984821;0,000227;0,000158;-0,000361;-0,000519
228;0,984821;;0,984821;0,98489;6,9E-05;-0,000361;0,000364;0,000725
229;0,98489;;0,98489;0,98532;0,00043;0,000364;-0,000567;-0,000931
230;0,98532;;0,98532;0,985386;6,6E-05;-0,000567;-1008,781348;-1008,780781
231;0,985386;;0,985386;0,986019;0,000633;-1008,781348;1008,781981;2017,563329
232;0,986019;;0,986019;1009,768;1008,781981;1008,781981;-0,001;-1008,782981
233;1009,768;;1009,768;1009,768;0;-0,001;0,001;0,002
234;1009,768;;1009,768;1009,769;0,001;0,001;-0,063;-0,064
235;1009,769;;1009,769;1009,769;0;-0,063;-10,131;-10,068
236;1009,769;;1009,769;1009,832;0,063;-10,131;10,092;20,223
237;1009,832;;1009,832;1020,026;10,194;10,092;-45,085;-55,177
238;1020,026;;1020,026;1020,128;0,102;-45,085;45,186;90,271
239;1020,128;;1020,128;1065,315;45,187;45,186;0,001;-45,185
240;1065,315;;1065,315;1065,316;0,001;0,001;-0,063;-0,064
241;1065,316;;1065,316;1065,316;0;-0,063;-0,263;-0,2
242;1065,316;;1065,316;1065,379;0,063;-0,263;-5,152;-4,889
243;1065,379;;1065,379;1065,705;0,326;-5,152;5,39;10,542
244;1065,705;;1065,705;1071,183;5,478;5,39;-0,765;-6,155
245;1071,183;;1071,183;1071,271;0,088;-0,765;0,779;1,544
246;1071,271;;1071,271;1072,124;0,853;0,779;-30,538;-31,317
247;1072,124;;1072,124;1072,198;0,074;-30,538;30,611;61,149
248;1072,198;;1072,198;1102,81;30,612;30,611;0,001;-30,61
249;1102,81;;1102,81;1102,811;0,001;0,001;-0,001;-0,002
250;1102,811;;1102,811;1102,811;0;-0,001;-0,073;-0,072
251;1102,811;;1102,811;1102,812;0,001;-0,073;-6,507;-6,434
252;1102,812;;1102,812;1102,886;0,074;-6,507;6,499;13,006
253;1102,886;;1102,886;1109,467;6,581;6,499;-21,349;-27,848
254;1109,467;;1109,467;1109,549;0,082;-21,349;20,775;42,124
255;1109,549;;1109,549;1130,98;21,431;20,775;0,656;-20,119
256;1130,98;;1130,98;1131,636;0,656;0,656;-0,035;-0,691
257;1131,636;;1131,636;1131,636;0;-0,035;-0,356;-0,321
258;1131,636;;1131,636;1131,671;0,035;-0,356;-0,191;0,165
259;1131,671;;1131,671;1132,062;0,391;-0,191;-2,873;-2,682
260;1132,062;;1132,062;1132,644;0,582;-2,873;3,403;6,276
261;1132,644;;1132,644;1136,099;3,455;3,403;-1,982;-5,385
262;1136,099;;1136,099;1136,151;0,052;-1,982;-18,411;-16,429
263;1136,151;;1136,151;1138,185;2,034;-18,411;17,918;36,329
264;1138,185;;1138,185;1158,63;20,445;17,918;2,526;-15,392
265;1158,63;;1158,63;1161,157;2,527;2,526;0,001;-2,525
266;1161,157;;1161,157;1161,158;0,001;0,001;-0,07;-0,071
267;1161,158;;1161,158;1161,158;0;-0,07;-1,254;-1,184
268;1161,158;;1161,158;1161,228;0,07;-1,254;-3,533;-2,279
269;1161,228;;1161,228;1162,552;1,324;-3,533;-3,221;0,312
270;1162,552;;1162,552;1167,409;4,857;-3,221;-60,94;-57,719
271;1167,409;;1167,409;1175,487;8,078;-60,94;50,022;110,962
272;1175,487;;1175,487;1244,505;69,018;50,022;18,939;-31,083
273;1244,505;;1244,505;1263,501;18,996;18,939;-0,024;-18,963
274;1263,501;;1263,501;1263,558;0,057;-0,024;-5,561;-5,537
275;1263,558;;1263,558;1263,639;0,081;-5,561;-38,592;-33,031
276;1263,639;;1263,639;1269,281;5,642;-38,592;44,102;82,694
277;1269,281;;1269,281;1313,515;44,234;44,102;-1,767;-45,869
278;1313,515;;1313,515;1313,647;0,132;-1,767;1,821;3,588
279;1313,647;;1313,647;1315,546;1,899;1,821;-0,048;-1,869
280;1315,546;;1315,546;1315,624;0,078;-0,048;0,089;0,137
281;1315,624;;1315,624;1315,75;0,126;0,089;-0,206;-0,295
282;1315,75;;1315,75;1315,787;0,037;-0,206;0,207;0,413
283;1315,787;;1315,787;1316,03;0,243;0,207;-0,8;-1,007
284;1316,03;;1316,03;1316,066;0,036;-0,8;0,764;1,564
285;1316,066;;1316,066;1316,902;0,836;0,764;-0,829;-1,593
286;1316,902;;1316,902;1316,974;0,072;-0,829;0,847;1,676
287;1316,974;;1316,974;1317,875;0,901;0,847;-0,731;-1,578
288;1317,875;;1317,875;1317,929;0,054;-0,731;0,726;1,457
289;1317,929;;1317,929;1318,714;0,785;0,726;-0,641;-1,367
290;1318,714;;1318,714;1318,773;0,059;-0,641;0,644;1,285
291;1318,773;;1318,773;1319,473;0,7;0,644;-0,68;-1,324
292;1319,473;;1319,473;1319,529;0,056;-0,68;0,677;1,357
293;1319,529;;1319,529;1320,265;0,736;0,677;-0,509;-1,186
294;1320,265;;1320,265;1320,324;0,059;-0,509;0,39;0,899
295;1320,324;;1320,324;1320,892;0,568;0,39;0,127;-0,263
296;1320,892;;1320,892;1321,07;0,178;0,127;-0,65;-0,777
297;1321,07;;1321,07;1321,121;0,051;-0,65;0,638;1,288
298;1321,121;;1321,121;1321,822;0,701;0,638;-0,688;-1,326
299;1321,822;;1321,822;1321,885;0,063;-0,688;0,686;1,374
300;1321,885;;1321,885;1322,636;0,751;0,686;-0,676;-1,362
301;1322,636;;1322,636;1322,701;0,065;-0,676;0,683;1,359
302;1322,701;;1322,701;1323,442;0,741;0,683;-0,804;-1,487
303;1323,442;;1323,442;1323,5;0,058;-0,804;0,8;1,604
304;1323,5;;1323,5;1324,362;0,862;0,8;-0,616;-1,416
305;1324,362;;1324,362;1324,424;0,062;-0,616;0,606;1,222
306;1324,424;;1324,424;1325,102;0,678;0,606;-0,728;-1,334
307;1325,102;;1325,102;1325,174;0,072;-0,728;0,729;1,457
308;1325,174;;1325,174;1325,974;0,8;0,729;-0,154;-0,883
309;1325,974;;1325,974;1326,045;0,071;-0,154;0,225;0,379
310;1326,045;;1326,045;1326,27;0,225;0,225;0;-0,225
311;1326,27;;1326,27;1326,27;0;0;-0,039;-0,039
312;1326,27;;1326,27;1326,27;0;-0,039;-0,583;-0,544
313;1326,27;;1326,27;1326,309;0,039;-0,583;0,556;1,139
314;1326,309;;1326,309;1326,931;0,622;0,556;-0,22;-0,776
315;1326,931;;1326,931;1326,997;0,066;-0,22;0,244;0,464
316;1326,997;;1326,997;1327,283;0,286;0,244;-0,109;-0,353
317;1327,283;;1327,283;1327,325;0,042;-0,109;0,034;0,143
318;1327,325;;1327,325;1327,476;0,151;0,034;0,064;0,03
319;1327,476;;1327,476;1327,593;0,117;0,064;-0,98;-1,044
320;1327,593;;1327,593;1327,646;0,053;-0,98;0,924;1,904
321;1327,646;;1327,646;1328,679;1,033;0,924;-1,278;-2,202
322;1328,679;;1328,679;1328,788;0,109;-1,278;1,267;2,545
323;1328,788;;1328,788;1330,175;1,387;1,267;-0,964;-2,231
324;1330,175;;1330,175;1330,295;0,12;-0,964;1,011;1,975
325;1330,295;;1330,295;1331,379;1,084;1,011;-3,606;-4,617
326;1331,379;;1331,379;1331,452;0,073;-3,606;3,679;7,285
327;1331,452;;1331,452;1335,131;3,679;3,679;-1,278;-4,957
328;1335,131;;1335,131;1335,131;0;-1,278;1,257;2,535
329;1335,131;;1335,131;1336,409;1,278;1,257;-0,776;-2,033
330;1336,409;;1336,409;1336,43;0,021;-0,776;0,797;1,573
331;1336,43;;1336,43;1337,227;0,797;0,797;-0,727;-1,524
332;1337,227;;1337,227;1337,227;0;-0,727;0,691;1,418
333;1337,227;;1337,227;1337,954;0,727;0,691;-0,658;-1,349
334;1337,954;;1337,954;1337,99;0,036;-0,658;0,693;1,351
335;1337,99;;1337,99;1338,684;0,694;0,693;0,001;-0,692
336;1338,684;;1338,684;1338,685;0,001;0,001;0;-0,001
337;1338,685;;1338,685;1338,685;0;0;-0,043;-0,043
338;1338,685;;1338,685;1338,685;0;-0,043;-0,012;0,031
339;1338,685;;1338,685;1338,728;0,043;-0,012;0,04;0,052
340;1338,728;;1338,728;1338,783;0,055;0,04;-0,994;-1,034
341;1338,783;;1338,783;1338,798;0,015;-0,994;1,008;2,002
342;1338,798;;1338,798;1339,807;1,009;1,008;0,001;-1,007
343;1339,807;;1339,807;1339,808;0,001;0,001;0;-0,001
344;1339,808;;1339,808;1339,808;0;0;-0,001;-0,001
345;1339,808;;1339,808;1339,808;0;-0,001;-0,042;-0,041
346;1339,808;;1339,808;1339,809;0,001;-0,042;-3,555;-3,513
347;1339,809;;1339,809;1339,852;0,043;-3,555;3,598;7,153
348;1339,852;;1339,852;1343,45;3,598;3,598;0;-3,598
349;1343,45;;1343,45;1343,45;0;0;-0,001;-0,001
350;1343,45;;1343,45;1343,45;0;-0,001;0,001;0,002
351;1343,45;;1343,45;1343,451;0,001;0,001;0;-0,001
352;1343,451;;1343,451;1343,451;0;0;0;0
353;1343,451;;1343,451;1343,451;0;0;-0,002;-0,002
354;1343,451;;1343,451;1343,451;0;-0,002;-0,054;-0,052
355;1343,451;;1343,451;1343,453;0,002;-0,054;-0,653;-0,599
356;1343,453;;1343,453;1343,509;0,056;-0,653;-0,854;-0,201
357;1343,509;;1343,509;1344,218;0,709;-0,854;1,562;2,416
358;1344,218;;1344,218;1345,781;1,563;1,562;0,001;-1,561
359;1345,781;;1345,781;1345,782;0,001;0,001;-0,054;-0,055
360;1345,782;;1345,782;1345,782;0;-0,054;-0,897;-0,843
361;1345,782;;1345,782;1345,836;0,054;-0,897;0,876;1,773
362;1345,836;;1345,836;1346,787;0,951;0,876;-1,179;-2,055
363;1346,787;;1346,787;1346,862;0,075;-1,179;-0,438;0,741
364;1346,862;;1346,862;1348,116;1,254;-0,438;1,395;1,833
365;1348,116;;1348,116;1349,808;1,692;1,395;0,025;-1,37
366;1349,808;;1349,808;1350,105;0,297;0,025;-0,729;-0,754
367;1350,105;;1350,105;1350,377;0,272;-0,729;-0,207;0,522
368;1350,377;;1350,377;1351,378;1,001;-0,207;0,394;0,601
369;1351,378;;1351,378;1352,586;1,208;0,394;-4,247;-4,641
370;1352,586;;1352,586;1353,4;0,814;-4,247;5,06;9,307
371;1353,4;;1353,4;1358,461;5,061;5,06;-0,001;-5,061
372;1358,461;;1358,461;1358,462;0,001;-0,001;-0,027;-0,026
373;1358,462;;1358,462;1358,464;0,002;-0,027;-2,194;-2,167
374;1358,464;;1358,464;1358,493;0,029;-2,194;2,141;4,335
